query,intent
what s the time of arrival on my new credit card,replacement_card_duration
i need to get some assistance figuring out how i can rollover my 401k please,rollover_401k
give me manual on how to change oil,oil_change_how
i want your new name to be joshua,change_ai_name
set an alarm,alarm
how can i find my routing number for el dorado,routing
remove carrots from my shopping list and add soda,shopping_list_update
do i have a reminder for our neighbor s anniversary,reminder
how do i do a 401 k rollover,rollover_401k
bye bye,goodbye
what hobbies do you do,what_are_your_hobbies
will you give me some guidance on how to make ceviche,recipe
remind me that time is up in sixty minutes,timer
can you call my cellphone,find_phone
what is the median salary for someone with an engineering degree,out_of_scope
what is your nationality,where_are_you_from
set my amex pin to 1234,pin_change
what s the current time please,time
tell me how busy macaroni grill will be around 8 pm,how_busy
i would like to know how much fat is in tbsp of olive oil,nutrition_info
will i be charged if i use my card in mexico,international_fees
i need a new house insurance plan,insurance_change
which company made you,who_made_you
i need to quick dinner suggestions,meal_suggestion
find me a flight from nyc to la on march 1 returning on march 5,book_flight
what should i put on the timer to cook this dish,cook_time
tell me when my credit card expires,expiration_date
when will i get the next holiday with pay,next_holiday
i m going out of country what type of outlet plug do i need,plug_type
who set up the numbers for it,timer
can you permanently talk faster,change_speed
can someone look at my check engine light,schedule_maintenance
are you able to switch butter and oil,ingredient_substitution
i believe there s fraud on my card,report_fraud
what do you think is the meaning of life,meaning_of_life
is it possible to speed up of your replies,change_speed
i wanna know how busy denny s is at 5 am,how_busy
how can i breach a network,out_of_scope
any meetings on the schedule today,meeting_schedule
can you book a meeting room for friday at 9 00 am,schedule_meeting
how can i get your attention,what_is_your_name
can you give me a points update on my rewards plus card,rewards_balance
i need to rent a car from traveler s rent a car downtown and make it from friday the 6th to monday the 9th cheapest available,car_rental
i do not have that information,maybe
i need to get a new credit card application,new_card
what is today,date
alter back to your orginal settings,reset_settings
what is the process to set up a meeting,schedule_meeting
what kind of plug is used in japan,plug_type
shopping list,shopping_list
do you have many kinds of pets at your house,do_you_have_pets
when will my order be here,order_status
what is the amount of pto have i used,pto_used
how much time do i need to prepare chicken,cook_time
was there any progress on my vacation request,pto_request_status
i need to know all the recent transactions i ve made,transactions
for the dates april 1st to the 7th find me round trip air tickets from la to sfo,book_flight
does my american express card have any international transaction fees,international_fees
i would like to know how long a charge is suppose to last on my phone,out_of_scope
does england require socket converters,plug_type
share my location with google,share_location
i want to call mark,make_call
could you tell me how many pto days do i have left,pto_balance
could you tell me what kind of money i ve recently spent,spending_history
please inform me on my current vacation request status,pto_request_status
how cold is it going to be tonight,weather
transfer 500 from my checking to my savings,transfer
please give me the name of a few good options for places to eat dinner tonight,restaurant_suggestion
how much is the interest rate for the account i have at bluebird,interest_rate
the time is what,time
i want to set your name to gaffigan,change_ai_name
online order status,order_status
repeat your last message,repeat
what ingredients are in cake,ingredients_list
hell nah,no
what happened with the summit between trump and jong,out_of_scope
what do you like to do in your spare time,what_are_your_hobbies
what do i need to do to request vacation time off,pto_request
what are your favorite things to do,what_are_your_hobbies
what plugs are in england,plug_type
can i refer to you as mike from here on out,change_ai_name
it was enjoyable to chat with you,goodbye
are you able to link to my phone,sync_device
tell me the gas i need to fill this car up with,gas_type
on my to do list add cleaning,todo_list_update
howdy what s new,greeting
are reservations taken at redrobin,accept_reservations
what is the time frame to get to phoenix,distance
can i increase the credit limit for my visa platinum card,credit_limit_change
what pets are with you,do_you_have_pets
what veggies can i pair with mushrooms,out_of_scope
do i have enough points on my starbucks card yet,rewards_balance
what s my credit rating right now,credit_score
how do i get different terms on my insurance policy,insurance_change
put my music on please,play_music
what time is it in the greenwich timezone,time
let my bank know that i m traveling to prague,travel_notification
i need an oil change make an appointment,schedule_maintenance
does cowgirl creamery in san francisco take reservations,accept_reservations
how do they say hello in france,translate
where should i go to find the routing number for well s fargo,routing
what do you purchase to put in a shepherd s pie,ingredients_list
what is 13 times 45,calculator
what is the procedure for signing up for a new allstate plan,insurance_change
i need tips on how to overcome insomnia,out_of_scope
report a card lost for me,report_lost_card
i won t require my reservation anymore,cancel_reservation
can you tell me all the reminders i have set on my reminder list,reminder
take work from my calendar for may 7th,calendar_update
i m going to canada soon do i need a visa,international_visa
ist all carry on restrictions applicable to my flight,carry_on
i want you to call me lord,change_user_name
i need to know bank of america s routing,routing
what is on my schedule for the day of march 5th,calendar
how long should i wait to get my new card when my old one was stolen,replacement_card_duration
what s an interesting fact about flamingos,fun_fact
please tell me the location of the nearest target store,directions
how many people do you think will be at applebees at 7,how_busy
call the restaurant and cancel my reservation,cancel_reservation
does finland have any travel alerts i should be aware of,travel_alert
i couldn t buy a mug from target because my card got declined,card_declined
how can i build my credit score,improve_credit_score
no that is my response,no
help me find a car to rent,car_rental
what s the time in new york,time
what amount of miles are in a hundred kilometers,measurement_conversion
i need a newer insurance plan,insurance_change
how do i share my location with noel,share_location
i want to get an appointment to get my oil changed,schedule_maintenance
when s the next time i get paid,payday
put fan on,smart_home
are there shots required before going to south africa,vaccines
